date,open,high,low,close,volume,average,barCount
2023-07-31 08:30:00-05:00,17511.0,17560.75,17451.0,17475.75,139537.0,17513.17983935572,73856
2023-07-31 09:00:00-05:00,17475.0,17516.25,17452.75,17511.75,79305.0,17493.03004514231,41259
2023-07-31 09:30:00-05:00,17511.75,17526.5,17475.0,17511.5,67428.0,17502.30447097204,35359
2023-07-31 10:00:00-05:00,17512.0,17532.75,17490.5,17502.75,47595.0,17515.22242123488,23651
2023-07-31 10:30:00-05:00,17503.25,17514.5,17467.75,17494.25,52740.0,17491.5671148775,25569
2023-07-31 11:00:00-05:00,17495.0,17512.75,17478.75,17510.25,31094.0,17499.40621290025,14341
2023-07-31 11:30:00-05:00,17510.25,17514.5,17471.5,17474.75,29194.0,17490.95986080531,13737
2023-07-31 12:00:00-05:00,17474.75,17496.75,17454.75,17475.0,43775.0,17476.68939010897,20481
2023-07-31 12:30:00-05:00,17476.0,17507.75,17474.0,17488.0,28082.0,17492.20197140751,13195
2023-07-31 13:00:00-05:00,17488.0,17501.0,17467.75,17476.75,26123.0,17485.08053728825,12907
2023-07-31 13:30:00-05:00,17477.0,17509.5,17466.75,17501.0,27582.0,17486.18463560131,13343
2023-07-31 14:00:00-05:00,17500.75,17503.25,17468.0,17477.0,27770.0,17480.7745538673,13560
2023-07-31 14:30:00-05:00,17477.0,17514.75,17445.0,17513.75,49652.0,17472.85264847107,23566
2023-07-31 15:00:00-05:00,17514.0,17529.0,17507.25,17520.75,12993.0,17518.78313829451,6577
2023-07-31 15:30:00-05:00,17520.75,17523.75,17519.25,17521.0,2946.0,17521.26735949891,1539
2023-08-01 08:30:00-05:00,17441.0,17454.75,17406.0,17423.0,99853.0,17429.87562163507,54380
2023-08-01 09:00:00-05:00,17425.5,17461.5,17365.25,17422.75,133184.0,17415.66035585438,67382
2023-08-01 09:30:00-05:00,17423.5,17485.5,17418.75,17464.25,86651.0,17457.80930895558,41796
2023-08-01 10:00:00-05:00,17464.75,17478.0,17439.25,17469.5,59119.0,17456.23596885946,28428
2023-08-01 10:30:00-05:00,17469.5,17476.75,17448.25,17468.0,39594.0,17463.13658331611,18700
2023-08-01 11:00:00-05:00,17468.5,17471.75,17431.5,17439.5,32258.0,17453.28250587202,15821
2023-08-01 11:30:00-05:00,17439.5,17476.5,17420.5,17474.0,35177.0,17450.08062076413,16772
2023-08-01 12:00:00-05:00,17474.0,17493.25,17462.25,17466.5,32409.0,17477.60027121724,15416
2023-08-01 12:30:00-05:00,17466.25,17479.75,17439.25,17475.5,30376.0,17458.80299743734,14296
