entry_price,exit_price,stop_loss,direction,exit_reason,position_size,pnl,R:R,commission,entry_time,date,ATR
103.58,103.28893571428571,103.28893571428571,LONG,SL,1717,-505.7668785714268,1.0,6.0095,2016-01-25 09:35:00-05:00,2016-01-25 09:30:00-05:00,2.9106428571428586
102.75,102.45629285714286,102.45629285714286,LONG,SL,1702,-505.8465571428595,1.0,5.957,2016-01-26 09:35:00-05:00,2016-01-26 09:30:00-05:00,2.9370714285714308
102.0,101.97,102.29842142857143,SHORT,EOD,1675,44.38750000000191,0.10052897388640553,5.8625,2016-01-28 09:35:00-05:00,2016-01-28 09:30:00-05:00,2.9842142857142875
102.14,104.12,101.84479285714286,LONG,EOD,1693,3346.214500000007,6.707154782356356,5.9255,2016-01-29 09:35:00-05:00,2016-01-29 09:30:00-05:00,2.95207142857143
103.44,103.73406428571428,103.73406428571428,SHORT,SL,1700,-505.8592857142841,1.0,5.95,2016-02-01 09:35:00-05:00,2016-02-01 09:30:00-05:00,2.940642857142859
103.72,102.16,104.00863571428572,SHORT,EOD,1732,2695.858000000004,5.404736568586147,6.062,2016-02-02 09:35:00-05:00,2016-02-02 09:30:00-05:00,2.886357142857144
102.6,101.67,102.89249285714286,SHORT,EOD,1709,1583.3884999999873,3.1795648245377737,5.9815000000000005,2016-02-03 09:35:00-05:00,2016-02-03 09:30:00-05:00,2.9249285714285724
101.26,101.54149285714286,101.54149285714286,SHORT,SL,1776,-506.1473142857034,1.0,6.216,2016-02-04 09:35:00-05:00,2016-02-04 09:30:00-05:00,2.8149285714285717
100.83,98.33042857142858,101.07995714285714,SHORT,TP,2000,4992.142857142829,10.0,7.0,2016-02-05 09:35:00-05:00,2016-02-05 09:30:00-05:00,2.4995714285714286
96.1,96.36059999999999,96.36059999999999,SHORT,SL,1918,-506.5437999999935,1.0,6.713,2016-02-08 09:35:00-05:00,2016-02-08 09:30:00-05:00,2.6060000000000008
95.51,96.31,95.24368571428572,LONG,EOD,1877,1495.0304999999946,3.0039695311661556,6.569500000000001,2016-02-09 09:35:00-05:00,2016-02-09 09:30:00-05:00,2.6631428571428564
97.16,97.41217142857143,97.41217142857143,SHORT,SL,1982,-506.74077142857345,1.0,6.937,2016-02-10 09:35:00-05:00,2016-02-10 09:30:00-05:00,2.521714285714285
95.94,95.70068214285715,95.70068214285715,LONG,SL,2089,-507.24650357141513,1.0,7.3115000000000006,2016-02-11 09:35:00-05:00,2016-02-11 09:30:00-05:00,2.3931785714285687
97.27,97.51539285714286,97.51539285714286,SHORT,SL,2037,-506.9947500000069,1.0,7.1295,2016-02-12 09:35:00-05:00,2016-02-12 09:30:00-05:00,2.453928571428569
