entry_price,exit_price,stop_loss,direction,exit_reason,position_size,pnl,R:R,commission,entry_time,date,ATR,relative_volume,cumulative_pnl,equity
96.1,96.3606,96.3606,SHORT,SL,1918,-506.5437999999935,-1.0,6.713,2016-02-08 09:35:00-05:00,2016-02-08 09:30:00-05:00,2.6060000000000008,1.9600443712793456,-506.5437999999935,49493.45620000001
95.51,96.31,95.24368571428572,LONG,EOD,1877,1495.0304999999946,3.003969531166156,6.569500000000001,2016-02-09 09:35:00-05:00,2016-02-09 09:30:00-05:00,2.6631428571428564,1.2131112515704503,988.4867000000011,50988.4867
97.16,97.41217142857144,97.41217142857144,SHORT,SL,1982,-506.7407714285735,-1.0,6.937,2016-02-10 09:35:00-05:00,2016-02-10 09:30:00-05:00,2.521714285714285,1.2082720817872663,481.74592857142756,50481.74592857143
95.94,95.70068214285716,95.70068214285716,LONG,SL,2089,-507.24650357141513,-1.0,7.3115,2016-02-11 09:35:00-05:00,2016-02-11 09:30:00-05:00,2.3931785714285687,1.4124153408145372,-25.500574999987577,49974.49942500001
99.62,99.37703571428573,99.37703571428573,LONG,SL,2057,-506.977035714273,-1.0,7.1995000000000005,2016-02-16 09:35:00-05:00,2016-02-16 09:30:00-05:00,2.429642857142855,1.1567543903939514,-532.4776107142605,49467.52238928574
101.19,100.94610714285714,100.94610714285714,LONG,SL,2050,-507.15535714284937,-1.0,7.175,2016-02-17 09:35:00-05:00,2016-02-17 09:30:00-05:00,2.438928571428569,1.0773326571308612,-1039.6329678571099,48960.36703214289
104.07,104.23887428571427,104.23887428571427,SHORT,SL,2960,-510.2278857142727,-1.0,10.36,2016-03-08 09:40:00-05:00,2016-03-08 09:30:00-05:00,1.6887428571428549,1.2652856886470762,-1549.8608535713824,48450.13914642862
105.465,105.30652714285716,105.30652714285716,LONG,SL,3155,-511.024364285705,-1.0,11.0425,2016-03-10 09:35:00-05:00,2016-03-10 09:30:00-05:00,1.5847285714285704,1.076441502047565,-2060.8852178570874,47939.11478214291
105.55,105.71129428571427,105.71129428571427,SHORT,SL,3099,-510.6974914285883,-1.0,10.8465,2016-03-11 10:05:00-05:00,2016-03-11 09:30:00-05:00,1.612942857142856,1.1368055371909889,-2571.5827092856757,47428.41729071432
107.34,107.48291928571427,107.48291928571427,SHORT,SL,3498,-512.1746614285695,-1.0,12.243,2016-03-18 09:35:00-04:00,2016-03-18 09:30:00-04:00,1.4291928571428554,2.015439202689093,-3083.757370714245,46916.242629285756
109.34,109.46014214285717,109.46014214285717,SHORT,SL,4161,-514.4749564285922,-1.0,14.5635,2016-03-30 11:30:00-04:00,2016-03-30 09:30:00-04:00,1.20142142857143,1.1392177023382666,-3598.232327142837,46401.76767285716
108.45,108.55364285714286,108.55364285714286,SHORT,SL,4824,-516.8571428571504,-1.0,16.884,2016-04-01 09:35:00-04:00,2016-04-01 09:30:00-04:00,1.0364285714285728,1.8419190579810008,-4115.089469999988,45884.91053000001
109.33,109.45678571428572,109.45678571428572,SHORT,SL,3943,-513.7165714285811,-1.0,13.8005,2016-04-11 09:40:00-04:00,2016-04-11 09:30:00-04:00,1.2678571428571448,1.4048968160193285,-4628.806041428569,45371.19395857143
108.46,108.59153571428573,108.59153571428573,SHORT,SL,3801,-513.2707500000145,-1.0,13.3035,2016-04-12 09:35:00-04:00,2016-04-12 09:30:00-04:00,1.3153571428571451,1.0472982141826883,-5142.076791428583,44857.92320857142
110.79,110.9325,110.9325,SHORT,SL,3508,-512.167999999994,-1.0,12.278,2016-04-15 09:35:00-04:00,2016-04-15 09:30:00-04:00,1.4250000000000005,1.3841820522758268,-5654.244791428578,44345.75520857142
111.0699,110.53,111.20207857142856,SHORT,EOD,3782,2028.664800000011,4.0846257768172,13.237,2016-04-19 09:35:00-04:00,2016-04-19 09:30:00-04:00,1.321785714285715,1.1202328198641232,-3625.5799914285667,46374.42000857143
110.38,110.51682142857142,110.51682142857142,SHORT,SL,3654,-512.73449999998,-1.0,12.789,2016-04-20 09:35:00-04:00,2016-04-20 09:30:00-04:00,1.3682142857142858,1.0245565188331185,-4138.314491428547,45861.685508571456
