symbol,timestamp,open,high,low,close,volume,trade_count,vwap,time,candle_direction,trading_day
QQQ,2024-01-02 09:30:00-05:00,405.84,406.09,405.05,405.09,2532969.0,23002.0,405.633216,09:30:00,bearish,2024-01-02
QQQ,2024-01-02 09:35:00-05:00,405.09,405.34,404.24,404.3605,1321409.0,13797.0,404.786054,09:35:00,bearish,2024-01-02
QQQ,2024-01-02 09:40:00-05:00,404.38,404.4,403.59,403.84,1948448.0,16316.0,403.926792,09:40:00,bearish,2024-01-02
QQQ,2024-01-02 09:45:00-05:00,403.82,403.95,402.87,402.885,1785225.0,15860.0,403.479376,09:45:00,bearish,2024-01-02
QQQ,2024-01-02 09:50:00-05:00,402.89,403.3899,402.8,402.81,1526798.0,11511.0,403.100128,09:50:00,bearish,2024-01-02
QQQ,2024-01-02 09:55:00-05:00,402.81,403.585,402.5,403.58,1055632.0,11490.0,402.9203,09:55:00,bullish,2024-01-02
QQQ,2024-01-02 10:00:00-05:00,403.575,404.165,403.45,403.93,1061010.0,10680.0,403.896226,10:00:00,bullish,2024-01-02
QQQ,2024-01-02 10:05:00-05:00,403.94,403.97,403.19,403.52,571479.0,6708.0,403.544921,10:05:00,bearish,2024-01-02
QQQ,2024-01-02 10:10:00-05:00,403.53,403.7587,403.125,403.225,620148.0,7421.0,403.477488,10:10:00,bearish,2024-01-02
QQQ,2024-01-02 10:15:00-05:00,403.24,403.34,402.92,402.92,555143.0,7139.0,403.132869,10:15:00,bearish,2024-01-02
QQQ,2024-01-02 10:20:00-05:00,402.93,403.49,402.88,403.41,548740.0,6549.0,403.163143,10:20:00,bullish,2024-01-02
QQQ,2024-01-02 10:25:00-05:00,403.41,403.485,402.48,402.6401,895024.0,10347.0,402.891944,10:25:00,bearish,2024-01-02
QQQ,2024-01-02 10:30:00-05:00,402.64,402.65,402.1236,402.22,1030564.0,8911.0,402.295501,10:30:00,bearish,2024-01-02
QQQ,2024-01-02 10:35:00-05:00,402.22,402.23,401.98,402.1,777757.0,8895.0,402.094172,10:35:00,bearish,2024-01-02
QQQ,2024-01-02 10:40:00-05:00,402.08,402.51,402.0187,402.46,667738.0,8111.0,402.247074,10:40:00,bullish,2024-01-02
QQQ,2024-01-02 10:45:00-05:00,402.46,402.65,401.83,401.85,642390.0,8518.0,402.257936,10:45:00,bearish,2024-01-02
QQQ,2024-01-02 10:50:00-05:00,401.86,402.205,401.7408,402.09,601792.0,7442.0,401.992737,10:50:00,bullish,2024-01-02
QQQ,2024-01-02 10:55:00-05:00,402.08,402.4,401.98,402.355,462085.0,6309.0,402.194522,10:55:00,bullish,2024-01-02
QQQ,2024-01-02 11:00:00-05:00,402.355,402.9,402.32,402.85,1001912.0,7698.0,402.560755,11:00:00,bullish,2024-01-02
QQQ,2024-01-02 11:05:00-05:00,402.84,403.0,402.52,402.97,689291.0,5998.0,402.786414,11:05:00,bullish,2024-01-02
QQQ,2024-01-02 11:10:00-05:00,402.96,403.49,402.95,403.24,897870.0,8691.0,403.273416,11:10:00,bullish,2024-01-02
QQQ,2024-01-02 11:15:00-05:00,403.23,403.465,403.1405,403.425,445829.0,5202.0,403.311827,11:15:00,bullish,2024-01-02
QQQ,2024-01-02 11:20:00-05:00,403.42,403.54,403.15,403.27,541929.0,5737.0,403.375582,11:20:00,bearish,2024-01-02
QQQ,2024-01-02 11:25:00-05:00,403.27,403.58,403.22,403.56,337359.0,3686.0,403.438011,11:25:00,bullish,2024-01-02
QQQ,2024-01-02 11:30:00-05:00,403.55,403.78,403.5,403.74,358549.0,4091.0,403.6737,11:30:00,bullish,2024-01-02
QQQ,2024-01-02 11:35:00-05:00,403.745,403.85,403.53,403.633,297652.0,3709.0,403.678815,11:35:00,bearish,2024-01-02
QQQ,2024-01-02 11:40:00-05:00,403.63,403.79,403.55,403.79,252924.0,3292.0,403.655057,11:40:00,bullish,2024-01-02
QQQ,2024-01-02 11:45:00-05:00,403.78,404.15,403.71,404.09,531184.0,5660.0,404.000359,11:45:00,bullish,2024-01-02
QQQ,2024-01-02 11:50:00-05:00,404.08,404.12,403.75,403.83,456017.0,4355.0,403.966065,11:50:00,bearish,2024-01-02
QQQ,2024-01-02 11:55:00-05:00,403.83,404.04,403.8,403.97,359343.0,3579.0,403.939702,11:55:00,bullish,2024-01-02
QQQ,2024-01-02 12:00:00-05:00,403.97,404.14,403.91,404.0813,304358.0,3229.0,404.019718,12:00:00,bullish,2024-01-02
QQQ,2024-01-02 12:05:00-05:00,404.07,404.18,403.9601,404.03,269395.0,2737.0,404.0775,12:05:00,bearish,2024-01-02
QQQ,2024-01-02 12:10:00-05:00,404.02,404.09,403.855,403.974,295261.0,3144.0,404.002415,12:10:00,bearish,2024-01-02
QQQ,2024-01-02 12:15:00-05:00,403.98,403.98,403.3715,403.56,565376.0,5780.0,403.667751,12:15:00,bearish,2024-01-02
QQQ,2024-01-02 12:20:00-05:00,403.56,403.8212,403.5,403.59,255255.0,3183.0,403.639142,12:20:00,bullish,2024-01-02
QQQ,2024-01-02 12:25:00-05:00,403.56,403.745,403.49,403.52,186751.0,2408.0,403.614233,12:25:00,bearish,2024-01-02
QQQ,2024-01-02 12:30:00-05:00,403.52,403.7999,403.34,403.79,457389.0,3169.0,403.545427,12:30:00,bullish,2024-01-02
QQQ,2024-01-02 12:35:00-05:00,403.8,403.94,403.72,403.905,404158.0,2910.0,403.837878,12:35:00,bullish,2024-01-02
QQQ,2024-01-02 12:40:00-05:00,403.93,404.1601,403.86,403.91,199821.0,2434.0,404.032208,12:40:00,bearish,2024-01-02
QQQ,2024-01-02 12:45:00-05:00,403.89,403.925,403.17,403.31,435922.0,3741.0,403.431118,12:45:00,bearish,2024-01-02
QQQ,2024-01-02 12:50:00-05:00,403.3,403.33,402.92,402.94,406084.0,3929.0,403.067872,12:50:00,bearish,2024-01-02
QQQ,2024-01-02 12:55:00-05:00,402.95,403.0,402.5212,402.575,296374.0,3054.0,402.693481,12:55:00,bearish,2024-01-02
